Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,100N,C_0805_2012Metric,5.944882,-3.562992,0,top
C2,100N,C_0805_2012Metric,5.523622,-3.401575,90,top
C11,100P,C_0805_2012Metric,5.147638,-3.67126,180,top
C12,100N,C_0805_2012Metric,5.147638,-3.425197,0,top
C21,100P,C_0805_2012Metric,5.147638,-4.488189,180,top
C22,100N,C_0805_2012Metric,5.147638,-4.242126,0,top
C31,100P,C_0805_2012Metric,6.564961,-4.242126,0,top
C32,100N,C_0805_2012Metric,6.564961,-4.488189,180,top
C41,100P,C_0805_2012Metric,6.564961,-3.425197,0,top
C42,100N,C_0805_2012Metric,6.564961,-3.67126,180,top
D11,LED,LED_0805_2012Metric,5.147638,-2.874016,0,top
D12,1N4007F,D_SMAF,5.147638,-3.110236,90,top
D21,LED,LED_0805_2012Metric,5.146457,-4.88189,0,top
D22,1N4007F,D_SMAF,5.147638,-5.11811,90,top
D31,LED,LED_0805_2012Metric,6.564961,-5.03937,180,top
D32,1N4007F,D_SMAF,6.564961,-4.80315,270,top
D41,LED,LED_0805_2012Metric,6.566142,-3.031496,180,top
D42,1N4007F,D_SMAF,6.564961,-2.795276,270,top
FID1,Fiducial,Fiducial_1mm_Mask2mm,5.366142,-2.708661,0,top
FID2,Fiducial,Fiducial_1mm_Mask2mm,4.92126,-4.192913,0,top
FID3,Fiducial,Fiducial_1mm_Mask2mm,6.269685,-5.216535,0,top
Q1,BSS138,SOT-23,5.96063,-4.590551,0,top
Q2,BSS138,SOT-23,5.96063,-4.413386,0,top
Q11,PMBT3904,SOT-23,5.147638,-2.716535,180,top
Q21,PMBT3904,SOT-23,5.145669,-4.724409,180,top
Q31,PMBT3904,SOT-23,6.564961,-5.19685,0,top
Q41,PMBT3904,SOT-23,6.566929,-3.188976,0,top
R1,1K,R_0805_2012Metric,6.21063,-3.267717,270,top
R2,10K,R_0805_2012Metric,5.80315,-4.590551,270,top
R3,10K,R_0805_2012Metric,5.80315,-4.413386,270,top
R4,10K,R_0805_2012Metric,6.11811,-4.590551,270,top
R5,10K,R_0805_2012Metric,6.11811,-4.413386,90,top
R11,200R,R_0805_2012Metric,5.338583,-3.71063,180,top
R12,200R,R_0805_2012Metric,5.295276,-3.011811,90,top
R13,1K,R_0805_2012Metric,5.40748,-2.84252,90,top
R14,100R,R_0805_2012Metric,5.147638,-3.543307,180,top
R15,10K,R_0805_2012Metric,5.437008,-3.03937,180,top
R21,200R,R_0805_2012Metric,5.440945,-4.161417,180,top
R22,200R,R_0805_2012Metric,5.314961,-5.177165,90,top
R23,1K,R_0805_2012Metric,5.30315,-4.850394,90,top
R24,100R,R_0805_2012Metric,5.14685,-4.360236,180,top
R25,10K,R_0805_2012Metric,5.34252,-5.015748,270,top
R31,200R,R_0805_2012Metric,6.374016,-4.202756,0,top
R32,200R,R_0805_2012Metric,6.417323,-4.901575,270,top
R33,1K,R_0805_2012Metric,6.309055,-5.068898,270,top
R34,100R,R_0805_2012Metric,6.564961,-4.370079,0,top
R35,10K,R_0805_2012Metric,6.279528,-4.872047,0,top
R41,200R,R_0805_2012Metric,6.271654,-3.751969,0,top
R42,200R,R_0805_2012Metric,6.401575,-2.744094,270,top
R43,1K,R_0805_2012Metric,6.413386,-3.070866,270,top
R44,100R,R_0805_2012Metric,6.565748,-3.55315,0,top
R45,10K,R_0805_2012Metric,6.374016,-2.905512,90,top
U1,ADS1115IDGS,TSSOP-10_3x3mm_P0.5mm,5.720472,-3.610236,0,top
U2,PCA9557PW,TSSOP-16_4.4x5mm_P0.65mm,5.962598,-3.36811,0,top
U3,ADS1115IDGS,TSSOP-10_3x3mm_P0.5mm,5.677165,-3.358268,270,top
U11,PC817X2CSP9F,PC817X2CSP9F,5.354331,-3.385827,90,top
U12,CC6902SO-10A,CC690XSO-XA,4.812992,-3.484252,0,top
U21,PC817X2CSP9F,PC817X2CSP9F,5.354331,-4.488189,270,top
U22,CC6902SO-10A,CC690XSO-XA,4.812992,-4.429134,0,top
U31,PC817X2CSP9F,PC817X2CSP9F,6.358268,-4.527559,270,top
U32,CC6902SO-10A,CC690XSO-XA,6.899606,-4.429134,180,top
U41,PC817X2CSP9F,PC817X2CSP9F,6.358268,-3.425197,90,top
U42,CC6902SO-10A,CC690XSO-XA,6.899606,-3.484252,180,top
